city,country,datetime,lat,long,maxtemp,humidity,cloudiness,windspeed
Kerema,PG,1633808781,-7.9631,145.7785,76.82,92,93,6.08
Mar del Plata,AR,1633808782,-38.0023,-57.5575,57.22,66,0,17.0
Kavaratti,IN,1633808608,10.5669,72.642,82.24,80,98,10.51
Sitka,US,1633808784,57.0531,-135.33,49.89,71,90,17.27
Ushuaia,AR,1633808786,-54.8,-68.3,51.46,62,40,9.22
Chokurdakh,RU,1633808787,70.6333,147.9167,4.32,99,98,5.53
Qaanaaq,GL,1633808788,77.484,-69.3632,28.38,82,100,14.92
Barrow,US,1633808499,71.2906,-156.7887,30.22,80,90,8.05
Inhambane,MZ,1633808791,-23.865,35.3833,72.61,76,0,14.03
Atuona,PF,1633808792,-9.8,-139.0333,77.79,71,13,18.05
Nuuk,GL,1633808793,64.1835,-51.7216,34.41,80,75,10.36
Mossamedes,AO,1633808549,-15.1961,12.1522,65.61,77,4,1.77
Saldanha,ZA,1633808796,-33.0117,17.9442,58.82,79,0,15.99
Byron Bay,AU,1633808797,-28.65,153.6167,69.75,89,10,13.33
Tuktoyaktuk,CA,1633808800,69.4541,-133.0374,30.2,93,90,5.75
Alofi,NU,1633808801,-19.0595,-169.9187,76.89,88,95,5.75
George Town,MY,1633808719,5.4112,100.3354,80.89,89,20,1.14
Mataura,NZ,1633808805,-46.1927,168.8643,46.47,69,2,2.93
Hong Kong,HK,1633808666,22.2855,114.1577,80.58,95,100,5.99
Torbay,CA,1633808808,47.6666,-52.7314,44.58,88,90,23.02
Nikolskoye,RU,1633808809,59.7035,30.7861,52.88,84,100,5.7
Haines Junction,CA,1633808811,60.7522,-137.5108,40.95,60,100,2.3
Manta,EC,1633808812,-0.95,-80.7333,76.78,73,20,10.36
Malishka,AM,1633808814,39.7376,45.39,48.04,56,0,1.59
Busselton,AU,1633808816,-33.65,115.3333,42.08,79,90,7.63
Hermanus,ZA,1633808817,-34.4187,19.2345,60.91,78,0,7.38
Chui,UY,1633808818,-33.6971,-53.4616,61.74,66,25,11.03
San Cristobal,VE,1633808820,7.7669,-72.225,82.31,55,56,3.53
Rikitea,PF,1633808821,-23.1203,-134.9692,74.05,82,100,18.12
Vung Tau,VN,1633808822,10.346,107.0843,79.11,88,100,13.82
Narsaq,GL,1633808824,60.9167,-46.05,41.22,62,3,2.46
Avarua,CK,1633808825,-21.2078,-159.775,77.05,65,27,5.75
Galesong,ID,1633808826,-5.3166,119.3661,73.42,72,92,11.32
Yerbogachën,RU,1633808828,61.2767,108.0108,36.81,97,100,15.59
Margate,GB,1633808826,51.3813,1.3862,56.3,90,6,5.61
Bluff,NZ,1633808830,-46.6,168.3333,46.8,84,71,9.57
Port Alfred,ZA,1633808831,-33.5906,26.891,61.59,70,3,19.17
Pitimbu,BR,1633808833,-7.4706,-34.8086,82.99,75,100,13.65
Cayenne,GF,1633808541,4.9333,-52.3333,87.84,76,0,4.0
Iqaluit,CA,1633808835,63.7506,-68.5145,35.33,93,90,4.0
Carnarvon,AU,1633808837,-24.8667,113.6333,62.67,67,0,17.27
Atmakūr,IN,1633808839,15.8833,78.5833,75.67,88,94,1.95
Ketchikan,US,1633808840,55.3422,-131.6461,48.67,81,75,5.75
Kavieng,PG,1633808841,-2.5744,150.7967,80.35,80,85,7.47
Newport,GB,1633808843,51.5877,-2.9984,61.63,88,100,3.27
Chietla,MX,1633808845,18.5167,-98.5833,85.64,44,92,0.49
Polokwane,ZA,1633808704,-23.9045,29.4688,74.25,41,42,2.3
Bambous Virieux,MU,1633808556,-20.3428,57.7575,73.65,78,75,18.41
Hilo,US,1633808590,19.7297,-155.09,77.29,86,90,5.75
Cape Town,ZA,1633808850,-33.9258,18.4232,62.28,72,0,10.36
Castro,BR,1633808851,-24.7911,-50.0119,56.5,99,100,6.22
Severo-Kuril'sk,RU,1633808852,50.6789,156.125,43.59,78,22,13.02
Cândido Mendes,BR,1633808853,-1.4467,-45.7167,80.02,81,73,7.11
Mackay,AU,1633808848,-21.15,149.2,71.04,88,75,1.14
Lüderitz,NA,1633808856,-26.6481,15.1594,63.9,58,53,18.34
Coquimbo,CL,1633808597,-29.9533,-71.3436,64.13,55,20,13.8
Alta Floresta,BR,1633808721,-9.8756,-56.0861,93.02,55,20,5.75
Sehwan,PK,1633808859,26.4279,67.863,82.22,39,0,8.23
Port Hardy,CA,1633808861,50.6996,-127.4199,50.18,93,90,16.11
Longyearbyen,SJ,1633808862,78.2186,15.6401,19.24,79,20,6.91
Puerto Ayora,EC,1633808863,-0.7393,-90.3518,78.76,77,91,10.49
Tamandaré,BR,1633808865,-8.7597,-35.1047,77.47,72,98,7.94
Albany,US,1633808831,42.6001,-73.9662,66.45,68,100,1.01
Grindavik,IS,1633808867,63.8424,-22.4338,45.07,93,75,12.66
Kupang,ID,1633808869,-10.1667,123.5833,76.1,82,49,4.23
Butaritari,KI,1633808871,3.0707,172.7902,81.55,68,100,12.24
Kapaa,US,1633808872,22.0752,-159.319,80.58,70,75,8.01
Punta Arenas,CL,1633808842,-53.15,-70.9167,57.31,51,40,26.46
Kruisfontein,ZA,1633808874,-34.0033,24.7314,56.88,79,1,11.52
Hīt,IQ,1633808876,33.6416,42.8251,78.71,12,0,6.87
Jamestown,US,1633808877,42.097,-79.2353,67.51,89,90,5.99
Brandon,US,1633808878,27.9378,-82.2859,89.94,67,40,1.01
Eureka,US,1633808880,40.8021,-124.1637,67.19,66,7,5.01
Kahului,US,1633808405,20.8947,-156.47,78.84,87,75,24.16
Amherst,US,1633808882,41.3978,-82.2224,79.72,64,75,3.0
São Filipe,CV,1633808883,14.8961,-24.4956,80.78,73,3,11.07
Raudeberg,NO,1633808885,61.9875,5.1352,57.2,91,100,10.0
Lebedyn,UA,1633808886,50.5852,34.4849,43.72,39,100,7.72
Hobart,AU,1633808783,-42.8794,147.3294,46.26,74,20,1.01
Constitución,CL,1633808888,-35.3333,-72.4167,58.19,74,28,7.36
Kharp,RU,1633808890,66.8014,65.8081,26.29,85,14,8.95
Samarai,PG,1633808892,-10.6167,150.6667,79.09,82,89,16.53
Waingapu,ID,1633808893,-9.6567,120.2641,76.3,78,68,2.42
Puerto Madryn,AR,1633808895,-42.7692,-65.0385,71.94,30,0,12.95
Gusinoye Ozero,RU,1633808896,51.1144,106.2614,32.88,65,18,2.8
Thinadhoo,MV,1633808897,0.5333,72.9333,83.17,72,100,11.54
Kailua,US,1633808899,21.4022,-157.7394,82.38,68,75,18.41
Hazorasp,UZ,1633808901,41.3194,61.0742,46.72,54,1,8.61
Walvis Bay,NA,1633808903,-22.9575,14.5053,59.95,77,0,6.91
Cherskiy,RU,1633808879,68.75,161.3,9.12,96,99,5.01
Ust-Nera,RU,1633808908,64.5667,143.2,21.4,93,100,6.85
Iskateley,RU,1633808909,67.6803,53.1512,31.57,74,90,7.9
Havøysund,NO,1633808911,70.9963,24.6622,43.68,91,100,4.97
East London,ZA,1633808671,-33.0153,27.9116,62.62,66,0,17.67
College,US,1633808913,64.8569,-147.8028,37.35,91,75,0.0
Yeppoon,AU,1633808846,-23.1333,150.7333,64.18,81,2,7.78
Laguna,US,1633808915,38.421,-121.4238,72.23,45,1,3.0
Burnie,AU,1633808917,-41.0667,145.9167,43.95,71,21,10.71
Saskylakh,RU,1633808918,71.9167,114.0833,10.27,98,100,3.24
Tasiilaq,GL,1633808919,65.6145,-37.6368,33.96,86,8,4.92
Lincoln,US,1633808817,40.8,-96.667,76.91,50,1,13.8
Zhigansk,RU,1633808814,66.7697,123.3711,33.42,99,100,18.54
Najrān,SA,1633808815,17.4924,44.1277,81.25,35,7,5.86
Klaksvík,FO,1633808925,62.2266,-6.589,50.92,85,45,20.76
Ballina,AU,1633808874,-28.8667,153.5667,60.78,94,9,5.75
Aklavik,CA,1633808750,68.2191,-135.0107,32.0,86,75,5.75
Tuatapere,NZ,1633808929,-46.1333,167.6833,46.81,73,59,5.14
Luwuk,ID,1633808910,-0.9516,122.7875,75.99,80,77,4.12
Lata,PT,1633808931,40.1629,-8.3327,63.07,81,24,0.96
Hithadhoo,MV,1633808932,-0.6,73.0833,82.78,69,100,9.01
Saint Paul Harbor,US,1633808919,57.79,-152.4072,49.51,46,75,16.11
Hillsdale,US,1633808935,41.0026,-74.0404,69.78,81,90,5.01
Los Llanos de Aridane,ES,1633808825,28.6585,-17.9182,69.55,86,20,16.11
Amazar,RU,1633808937,53.858,120.875,30.07,89,72,5.21
Tiksi,RU,1633808938,71.6872,128.8694,16.12,88,69,3.85
Sioux Lookout,CA,1633808767,50.1001,-91.917,64.78,88,75,4.61
Collie,AU,1633808941,-33.3667,116.15,39.97,96,100,3.85
Vao,NC,1633808943,-22.6667,167.4833,69.6,60,63,15.43
Dergachi,RU,1633808945,51.2328,48.7659,45.46,49,0,6.82
Lugovoy,KZ,1633808946,42.9472,72.7644,48.54,92,100,1.68
Assiut,EG,1633808896,27.181,31.1837,78.98,35,0,7.52
Pevek,RU,1633808948,69.7008,170.3133,24.06,95,100,2.98
Kānkon,IN,1633808951,15.0167,74.0167,78.6,85,100,3.94
Sambava,MG,1633808953,-14.2667,50.1667,72.55,72,26,13.53
Batagay,RU,1633808954,67.6333,134.6333,28.67,74,100,6.33
Beloha,MG,1633808956,-25.1667,45.05,69.21,70,0,3.42
Kjøpsvik,NO,1633808957,68.097,16.3742,49.17,93,100,6.53
LaBelle,US,1633808959,26.7617,-81.4384,89.64,60,64,7.63
Carballo,ES,1633808961,43.213,-8.691,62.76,83,96,8.86
Suez,EG,1633808963,29.9737,32.5263,70.43,82,0,11.25
Norman Wells,CA,1633808964,65.282,-126.8329,30.24,93,75,4.61
Namatanai,PG,1633808966,-3.6667,152.4333,78.33,85,80,4.65
Severobaykal'sk,RU,1633808967,55.65,109.3167,35.58,84,100,6.02
Ipixuna,BR,1633808968,-1.7625,-48.8043,76.95,79,88,4.54
Belaya Gora,RU,1633808970,68.5333,146.4167,11.5,85,90,4.45
Troitsko-Pechorsk,RU,1633808971,62.7084,56.1964,28.85,82,22,4.29
San Juan,AR,1633808972,-31.5375,-68.5364,70.84,38,68,13.06
Alanya,TR,1633808974,36.5438,31.9998,68.13,40,0,4.27
Kirkenær,NO,1633808975,60.4564,12.0582,54.99,88,100,8.23
Guerrero Negro,MX,1633808859,27.9769,-114.0611,76.57,52,5,22.7
Salinas,US,1633808977,36.6777,-121.6555,75.0,42,1,0.0
Ambon City,ID,1633808979,-3.6954,128.1814,79.66,84,73,5.97
Hamilton,US,1633808936,39.1834,-84.5333,82.76,60,20,1.01
Suicheng,CN,1633808981,33.8963,117.9331,67.51,94,96,9.1
Fort Saint James,CA,1633808982,54.4333,-124.25,45.3,76,100,8.12
Clyde River,CA,1633808984,70.4692,-68.5914,34.59,76,100,12.48
Khatanga,RU,1633808848,71.9667,102.5,16.14,97,100,1.52
Diamantino,BR,1633808986,-14.4086,-56.4461,95.86,33,85,8.28
Ayan,RU,1633808987,56.45,138.1667,40.59,56,72,4.5
Esperance,AU,1633808989,-33.8667,121.9,49.84,57,100,6.04
Omaruru,NA,1633808990,-21.4333,15.9333,71.89,6,1,4.63
Port Lincoln,AU,1633808992,-34.7333,135.8667,52.11,56,100,10.96
Ponta do Sol,PT,1633808868,32.6667,-17.1,73.0,69,27,4.97
Fortuna,US,1633808995,40.5982,-124.1573,68.18,60,7,1.99
Kaitangata,NZ,1633808997,-46.2817,169.8464,46.76,79,2,3.27
Caravelas,BR,1633808999,-17.7125,-39.2481,73.26,76,100,8.81
Bandarbeyla,SO,1633809000,9.4942,50.8122,78.44,83,85,20.62
Voskresenskoye,RU,1633809004,56.8381,45.4317,41.54,73,93,4.79
Bundaberg,AU,1633809006,-24.85,152.35,68.29,87,13,1.01
Orán,AR,1633809007,-23.1322,-64.326,65.37,87,100,3.51
Bitung,ID,1633809009,1.4451,125.1824,77.85,83,100,7.94
Houma,US,1633808844,29.5958,-90.7195,88.0,58,16,2.86
Colares,PT,1633809012,38.7992,-9.4469,65.34,77,20,3.0
‘Āhuimanu,US,1633809013,21.4447,-157.8378,80.31,66,75,18.41
Rafai,CF,1633809015,4.95,23.9167,70.81,96,100,3.0
Korla,CN,1633809016,41.7597,86.1469,45.63,44,6,3.67
Saint-Philippe,RE,1633809018,-21.3585,55.7679,72.99,85,43,15.05
Nehe,CN,1633809019,48.4833,124.8333,47.25,65,53,19.8
Ziro,IN,1633809020,27.6333,93.8333,54.09,96,16,1.97
Pierre,US,1633809022,44.3683,-100.351,61.72,93,90,6.91
Deputatsky,RU,1633808935,69.3,139.9,16.83,87,100,5.08
Lubango,AO,1633809024,-14.9172,13.4925,70.47,36,58,3.47
Bethel,US,1633809026,41.3712,-73.414,66.36,81,90,1.99
Thompson,CA,1633808745,55.7435,-97.8558,50.16,53,20,8.05
Chabahar,IR,1633809028,25.2919,60.643,82.89,69,0,5.46
Plérin,FR,1633809031,48.5425,-2.7798,58.44,89,75,1.99
Bathsheba,BB,1633809033,13.2167,-59.5167,84.81,79,40,16.11
Saint George,US,1633809034,37.1041,-113.5841,73.63,46,1,1.99
Jutaí,BR,1633809035,-5.1833,-68.9,94.44,40,72,0.4
Okhotsk,RU,1633809037,59.3833,143.3,24.57,79,7,9.95
Cervo,ES,1633809038,43.6702,-7.4101,63.97,87,100,16.49
Maragogi,BR,1633809039,-9.0122,-35.2225,77.04,74,74,8.75
Nador,MA,1633809041,35.174,-2.9287,70.05,73,0,6.91
